instance,solver_name,solver,seed,status,total_time,fixed_to_zero,n,iso_generate,early_stop,early_reason
cfi-20,NoWL,boscia,1,Time limit reached,301.553,0,200,true,false,
cfi-20,1WL,boscia_wl,1,Time limit reached,301.32541030000004,0,200,true,false,
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0616027,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0363899,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0360682,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.045844,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0548603,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0415569,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0583781,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.1086315,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0782653,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0641617,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0602389,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0794344,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0999189,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.085119,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0813422,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0842035,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0848591,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0757964,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0734134,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0686946,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.1178519,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.1176924,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.1168821,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0987889,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0948914,39600,0,false,true,wl
cfi-20,1WL_noniso,boscia_wl,1,Unknown,0.0946636,39600,0,false,true,wl
cfi-22,NoWL,boscia,1,Time limit reached,301.087,0,220,true,false,
cfi-22,1WL,boscia_wl,1,Time limit reached,300.7604927,0,220,true,false,
cfi-40,NoWL,boscia,1,Time limit reached,307.976,0,400,true,false,
cfi-40,1WL,boscia_wl,1,Time limit reached,308.0352009,0,400,true,false,
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0382498,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0275482,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0336713,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0432874,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0337915,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.068818,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0347518,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0520287,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0307108,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0550966,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0306939,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0305434,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0315427,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0324571,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0368653,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0278564,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0362403,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.042163,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0390117,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0425517,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0458607,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0383453,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0328683,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0295306,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.027718,159200,0,false,true,wl
cfi-40,1WL_noniso,boscia_wl,1,Unknown,0.0259797,159200,0,false,true,wl
cfi-50,NoWL,boscia,1,Time limit reached,315.1,0,500,true,false,
cfi-50,1WL,boscia_wl,1,Time limit reached,315.3128246,0,500,true,false,
cospectral_1,NoWL,boscia,1,User defined stop,108.921,0,29,true,false,
cospectral_1,1WL,boscia_wl,1,User defined stop,98.58520180000001,0,29,true,false,
cospectral_10,NoWL,boscia,1,Time limit reached,300.028,0,29,true,false,
cospectral_10,1WL,boscia_wl,1,Time limit reached,300.01852840000004,0,29,true,false,
cospectral_11,NoWL,boscia,1,Time limit reached,300.016,0,29,true,false,
cospectral_11,1WL,boscia_wl,1,Time limit reached,300.014788,0,29,true,false,
cospectral_12,NoWL,boscia,1,User defined stop,83.535,0,29,true,false,
cospectral_12,1WL,boscia_wl,1,User defined stop,83.8808488,0,29,true,false,
cospectral_13,NoWL,boscia,1,Time limit reached,300.013,0,29,true,false,
cospectral_13,1WL,boscia_wl,1,Time limit reached,300.0181067,0,29,true,false,
cospectral_14,NoWL,boscia,1,User defined stop,227.902,0,29,true,false,
cospectral_14,1WL,boscia_wl,1,User defined stop,227.55899829999998,0,29,true,false,
cospectral_15,NoWL,boscia,1,Time limit reached,300.001,0,29,true,false,
cospectral_15,1WL,boscia_wl,1,Time limit reached,300.0714121,0,29,true,false,
cospectral_16,NoWL,boscia,1,User defined stop,140.374,0,29,true,false,
