Family,# Instances,% Solved (NoWL),Time (NoWL),% Solved (1WL),Time (1WL),Speedup (median)
CHH_cc,8.0,25.0,164.05607540456444,25.0,162.13965114765546,1.0009201790840823
Lattice,7.0,14.285714285714285,162.79708811418053,14.285714285714285,161.95078928031484,1.0001180369292295
Triangular,7.0,14.285714285714285,180.51155581161277,14.285714285714285,177.989603814251,0.9998197100285987
cfi,4.0,0.0,306.37651729498,0.0,306.30204161775407,1.0002815533314873
cospectral,41.0,29.268292682926827,199.1007332710413,29.268292682926827,198.34025622537285,0.9999919413494439
exact,6.0,66.66666666666666,24.728183728890105,100.0,1.334001711614199,167.49486497306333
iso_r01N,7.0,71.42857142857143,39.13728365105675,100.0,0.9662854158563059,247.17079053582296
latin,20.0,25.0,178.18127917731812,20.0,159.2959130932431,1.0006863364223735
paley_power,8.0,37.5,99.90085570925103,37.5,81.25641286149146,1.004187240792366
paley_prime,7.0,57.14285714285714,75.58265269360338,57.14285714285714,75.77408987849476,0.996200956184621
sts,9.0,0.0,340.810485306873,0.0,338.1604181159916,1.0022621121777362
usr,12.0,0.0,382.8165749510082,0.0,311.56826459595027,1.0004746680307723
